Company,InsuranceGroup,VehicleType,Region,Date,Premium,Vehicles
Company 4,Group A,Commercial,Central,2016-09-01,364424,226.25
Company 5,Group A,Commercial,Central,2016-09-01,2582425,2323.25
Company 5,Group A,Commercial,Central,2016-08-01,2205690,1906.833333
Company 4,Group A,Commercial,Central,2016-08-01,207217,167.25
Company 4,Group A,Commercial,Central,2016-07-01,279791,248.25
Company 5,Group A,Commercial,Central,2016-07-01,2776220,2482.083333
Company 4,Group A,Commercial,Central,2016-06-01,479628,498.75
Company 5,Group A,Commercial,Central,2016-06-01,2747234,2943
Company 5,Group A,Commercial,Central,2016-05-01,2994728,2593.5
Company 4,Group A,Commercial,Central,2016-05-01,623013,419.6666667
Company 5,Group A,Commercial,Central,2016-04-01,3243360,3152.416666
Company 4,Group A,Commercial,Central,2016-04-01,456572,301.6666666
Company 5,Group A,Commercial,Central,2016-03-01,2939755,2763.916667
Company 4,Group A,Commercial,Central,2016-03-01,645892,756.4166667
Company 4,Group A,Commercial,Central,2016-02-01,214009,167.6666667
Company 5,Group A,Commercial,Central,2016-02-01,2611879,2607.666667
Company 3,Group A,Commercial,Central,2016-01-01,11331,2
Company 4,Group A,Commercial,Central,2016-01-01,261752,290.75
Company 5,Group A,Commercial,Central,2016-01-01,2208683,2018.916667
Company 3,Group A,Commercial,Edmonton,2016-01-01,13441,1
Company 4,Group A,Commercial,Edmonton,2016-01-01,211207,123.0833334
Company 5,Group A,Commercial,Edmonton,2016-01-01,2132634,1423.833334
Company 3,Group A,Commercial,Edmonton,2016-02-01,-4973,1
Company 5,Group A,Commercial,Edmonton,2016-02-01,2019651,1242.166667
Company 4,Group A,Commercial,Edmonton,2016-02-01,224338,119.1666667
Company 4,Group A,Commercial,Edmonton,2016-03-01,659107,446
Company 3,Group A,Commercial,Edmonton,2016-03-01,16496,5
Company 5,Group A,Commercial,Edmonton,2016-03-01,2755292,1951.833334
Company 5,Group A,Commercial,Edmonton,2016-04-01,3431031,2304.083333
Company 3,Group A,Commercial,Edmonton,2016-04-01,12321,3
Company 4,Group A,Commercial,Edmonton,2016-04-01,472137,255.75
Company 3,Group A,Commercial,Edmonton,2016-05-01,64,0
Company 4,Group A,Commercial,Edmonton,2016-05-01,1174191,850.3333333
Company 5,Group A,Commercial,Edmonton,2016-05-01,3231550,2033.5
Company 3,Group A,Commercial,Edmonton,2016-06-01,-420,0
Company 5,Group A,Commercial,Edmonton,2016-06-01,3121291,2034.75
Company 4,Group A,Commercial,Edmonton,2016-06-01,884921,398.5
Company 5,Group A,Commercial,Edmonton,2016-07-01,2674938,1780.416667
Company 4,Group A,Commercial,Edmonton,2016-07-01,1002377,492.3333333
Company 3,Group A,Commercial,Edmonton,2016-07-01,1891,1.33333333
Company 4,Group A,Commercial,Edmonton,2016-08-01,223419,128.6666667
Company 3,Group A,Commercial,Edmonton,2016-08-01,0,0
Company 5,Group A,Commercial,Edmonton,2016-08-01,2323392,1336.916667
Company 4,Group A,Commercial,Edmonton,2016-09-01,176620,105.3333333
Company 3,Group A,Commercial,Edmonton,2016-09-01,-553,-0.33333333
Company 5,Group A,Commercial,Edmonton,2016-09-01,2692764,1966.166667
Company 5,Group A,Commercial,Edmonton,2016-10-01,2874912,1637.75
Company 4,Group A,Commercial,Edmonton,2016-10-01,321517,347.8333334
Company 3,Group A,Commercial,Edmonton,2016-10-01,18,0.33333333
Company 5,Group A,Commercial,Edmonton,2016-11-01,2494669,1619.000001
Company 4,Group A,Commercial,Edmonton,2016-11-01,625392,481.1666668
Company 3,Group A,Commercial,Edmonton,2016-11-01,139,1
Company 3,Group A,Commercial,Edmonton,2016-12-01,0,0
Company 4,Group A,Commercial,Edmonton,2016-12-01,637539,812.4166668
Company 5,Group A,Commercial,Edmonton,2016-12-01,1800071,991.4166675
Company 3,Group A,Commercial,North,2016-12-01,2283,1
Company 5,Group A,Commercial,North,2016-12-01,2223618,1737.583334
Company 4,Group A,Commercial,North,2016-12-01,513456,687.3333333
Company 4,Group A,Commercial,North,2016-11-01,628662,680.0833334
Company 5,Group A,Commercial,North,2016-11-01,2519292,1742.916667
Company 3,Group A,Commercial,North,2016-11-01,6419,3
Company 5,Group A,Commercial,North,2016-10-01,2812645,2130.416667
Company 4,Group A,Commercial,North,2016-10-01,251945,198.5833334
Company 5,Group A,Commercial,North,2016-09-01,2296603,1997.5
Company 4,Group A,Commercial,North,2016-09-01,779991,742.3333333
Company 5,Group A,Commercial,North,2016-08-01,2093540,1718
Company 4,Group A,Commercial,North,2016-08-01,366395,296.3333333
Company 4,Group A,Commercial,North,2016-07-01,256343,285.5833334
Company 5,Group A,Commercial,North,2016-07-01,2275614,2179.5
Company 3,Group A,Commercial,North,2016-06-01,0,0
Company 5,Group A,Commercial,North,2016-06-01,2416823,2027.666667
Company 4,Group A,Commercial,North,2016-06-01,789694,789.2500001
Company 4,Group A,Commercial,North,2016-05-01,524278,499.4166666
Company 5,Group A,Commercial,North,2016-05-01,3041913,3025.166667
Company 5,Group A,Commercial,North,2016-04-01,2385813,2361.666667
Company 4,Group A,Commercial,North,2016-04-01,989886,936.3333334
Company 5,Group A,Commercial,North,2016-03-01,1730043,1495.5
Company 4,Group A,Commercial,North,2016-03-01,789872,295.5
Company 4,Group A,Commercial,North,2016-02-01,670164,524.25
Company 3,Group A,Commercial,North,2016-02-01,10597,0
Company 5,Group A,Commercial,North,2016-02-01,1629125,1564.666667
Company 5,Group A,Commercial,North,2016-01-01,1597857,1409.416667
Company 4,Group A,Commercial,North,2016-01-01,338249,164.6666667
Company 4,Group A,Commercial,South,2016-01-01,230769,170.4166667
Company 5,Group A,Commercial,South,2016-01-01,1308550,1546.083334
Company 4,Group A,Commercial,South,2016-02-01,149686,106.1666666
Company 5,Group A,Commercial,South,2016-02-01,1265662,1445
Company 5,Group A,Commercial,South,2016-03-01,1742875,1892.666667
Company 4,Group A,Commercial,South,2016-03-01,109583,98.58333327
Company 5,Group A,Commercial,South,2016-04-01,1955398,1998.166666
Company 4,Group A,Commercial,South,2016-04-01,738228,576.3333333
Company 5,Group A,Commercial,South,2016-05-01,1808216,2026.333333
Company 4,Group A,Commercial,South,2016-05-01,198786,130.5833334
Company 4,Group A,Commercial,South,2016-06-01,534778,595.25
Company 5,Group A,Commercial,South,2016-06-01,1431927,1432.166667
Company 3,Group A,Commercial,South,2016-06-01,1462,1
Company 4,Group A,Commercial,South,2016-07-01,253984,212.9166667
Company 5,Group A,Commercial,South,2016-07-01,1441709,1514.416667
Company 3,Group A,Commercial,South,2016-08-01,166,0
Company 4,Group A,Commercial,South,2016-08-01,160628,175.3333333
Company 5,Group A,Commercial,South,2016-08-01,1274471,1251.666667
Company 4,Group A,Commercial,South,2016-09-01,84503,75.41666667
Company 3,Group A,Commercial,South,2016-09-01,0,0
Company 5,Group A,Commercial,South,2016-09-01,1416499,1328.416667
Company 5,Group A,Commercial,South,2016-10-01,1504431,1389.583333
Company 4,Group A,Commercial,South,2016-10-01,155448,106.9166667
Company 3,Group A,Commercial,South,2016-10-01,438,1.08333332
Company 4,Group A,Commercial,South,2016-11-01,94365,101.7500001
Company 3,Group A,Commercial,South,2016-11-01,2676,3
Company 5,Group A,Commercial,South,2016-11-01,1612183,1510.5
Company 4,Group A,Commercial,South,2016-12-01,129968,136.5833333
Company 5,Group A,Commercial,South,2016-12-01,1616625,1459.25
Company 5,Group A,Commercial,Calgary,2017-01-01,2289729,1011
Company 4,Group A,Commercial,Calgary,2017-01-01,282611,160.5
Company 3,Group A,Commercial,Calgary,2017-01-01,0,0
Company 5,Group A,Commercial,Calgary,2017-02-01,1974134,855.3333335
Company 3,Group A,Commercial,Calgary,2017-02-01,0,0
Company 4,Group A,Commercial,Calgary,2017-02-01,216558,128.5833333
Company 5,Group A,Commercial,Calgary,2017-03-01,2699450,1226.166667
Company 4,Group A,Commercial,Calgary,2017-03-01,730646,576.0833333
Company 3,Group A,Commercial,Calgary,2017-03-01,0,0
Company 4,Group A,Commercial,Calgary,2017-04-01,494888,293.75
Company 5,Group A,Commercial,Calgary,2017-04-01,3152708,1407.666667
Company 3,Group A,Commercial,Calgary,2017-04-01,0,0
Company 5,Group A,Commercial,Calgary,2017-05-01,2967387,1284.833333
Company 3,Group A,Commercial,Calgary,2017-05-01,0,0
Company 4,Group A,Commercial,Calgary,2017-05-01,1031426,1245.916667
Company 3,Group A,Commercial,Calgary,2017-06-01,0,0
Company 5,Group A,Commercial,Calgary,2017-06-01,3010339,1487.25
Company 4,Group A,Commercial,Calgary,2017-06-01,642679,374.7499999
Company 4,Group A,Commercial,Calgary,2017-07-01,747162,1069
Company 3,Group A,Commercial,Calgary,2017-07-01,0,0
Company 5,Group A,Commercial,Calgary,2017-07-01,2420924,817.8333335
Company 4,Group A,Commercial,Calgary,2017-08-01,249005,124.9166667
Company 3,Group A,Commercial,Calgary,2017-08-01,0,0
Company 5,Group A,Commercial,Calgary,2017-08-01,2348262,1139.25
Company 4,Group A,Commercial,Calgary,2017-09-01,397941,246.8333334
Company 3,Group A,Commercial,Calgary,2017-09-01,0,0
Company 5,Group A,Commercial,Calgary,2017-09-01,2387215,924.8333336
Company 4,Group A,Commercial,Calgary,2017-10-01,873454,524.3333333
Company 3,Group A,Commercial,Calgary,2017-10-01,0,0
Company 6,Group A,Commercial,Calgary,2017-10-01,0,0
Company 5,Group A,Commercial,Calgary,2017-10-01,2941479,1176.75
Company 4,Group A,Commercial,Calgary,2017-11-01,252488,186.0000001
Company 6,Group A,Commercial,Calgary,2017-11-01,0,0
Company 5,Group A,Commercial,Calgary,2017-11-01,2816017,1238.833334
Company 3,Group A,Commercial,Calgary,2017-11-01,0,0
Company 4,Group A,Commercial,Calgary,2017-12-01,404894,277.1666667
Company 5,Group A,Commercial,Calgary,2017-12-01,2581375,1026.083334
Company 6,Group A,Commercial,Calgary,2017-12-01,0,0
Company 5,Group A,Commercial,Central,2017-12-01,1976381,1530.75
Company 3,Group A,Commercial,Central,2017-12-01,0,0
Company 4,Group A,Commercial,Central,2017-12-01,453909,293.2500001
Company 6,Group A,Commercial,Central,2017-12-01,0,0
Company 5,Group A,Commercial,Central,2017-11-01,2198411,1746.333334
Company 4,Group A,Commercial,Central,2017-11-01,3874326,7209.166667
Company 6,Group A,Commercial,Central,2017-11-01,0,0
Company 5,Group A,Commercial,Central,2017-10-01,2661722,2224.833333
Company 4,Group A,Commercial,Central,2017-10-01,494806,352
Company 6,Group A,Commercial,Central,2017-10-01,0,0
Company 5,Group A,Commercial,Central,2017-09-01,2579813,1919.333333
Company 4,Group A,Commercial,Central,2017-09-01,291317,226.1666666
Company 5,Group A,Commercial,Central,2017-08-01,2199130,1686.833333
Company 4,Group A,Commercial,Central,2017-08-01,237903,125.5
Company 4,Group A,Commercial,Central,2017-07-01,412979,351.25
Company 5,Group A,Commercial,Central,2017-07-01,2667452,2036.666667
Company 5,Group A,Commercial,Central,2017-06-01,2697201,2319.916667
Company 4,Group A,Commercial,Central,2017-06-01,450459,511.6666667
Company 5,Group A,Commercial,Central,2017-05-01,3099975,2457.25
Company 4,Group A,Commercial,Central,2017-05-01,719159,507.0833333
Company 4,Group A,Commercial,Central,2017-04-01,523894,337.8333333
Company 5,Group A,Commercial,Central,2017-04-01,2983847,2440.833333
Company 4,Group A,Commercial,Central,2017-03-01,705855,773
Company 5,Group A,Commercial,Central,2017-03-01,2882414,2377.75
Company 5,Group A,Commercial,Central,2017-02-01,2441471,1889.333333
Company 4,Group A,Commercial,Central,2017-02-01,557010,360.25
Company 4,Group A,Commercial,Central,2017-01-01,241130,266.2500001
Company 5,Group A,Commercial,Central,2017-01-01,2354967,1796.833334
Company 4,Group A,Commercial,Edmonton,2017-01-01,240007,120.75
Company 3,Group A,Commercial,Edmonton,2017-01-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-01-01,2078256,1151.166667
Company 5,Group A,Commercial,Edmonton,2017-02-01,2204555,1223.5
Company 4,Group A,Commercial,Edmonton,2017-02-01,214325,129.8333334
Company 3,Group A,Commercial,Edmonton,2017-03-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-03-01,2715904,1586.166667
Company 4,Group A,Commercial,Edmonton,2017-03-01,766809,524.25
Company 5,Group A,Commercial,Edmonton,2017-04-01,3225763,1911
Company 4,Group A,Commercial,Edmonton,2017-04-01,488704,239.3333334
Company 3,Group A,Commercial,Edmonton,2017-04-01,0,0
Company 3,Group A,Commercial,Edmonton,2017-05-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-05-01,3405073,1883.833333
Company 4,Group A,Commercial,Edmonton,2017-05-01,1065382,699.4999999
Company 4,Group A,Commercial,Edmonton,2017-06-01,822817,429.5
Company 5,Group A,Commercial,Edmonton,2017-06-01,2999522,1702.75
Company 3,Group A,Commercial,Edmonton,2017-06-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-07-01,2247521,1278.166667
Company 3,Group A,Commercial,Edmonton,2017-07-01,0,0
Company 4,Group A,Commercial,Edmonton,2017-07-01,1089196,592.0833333
Company 4,Group A,Commercial,Edmonton,2017-08-01,389992,189.1666667
Company 5,Group A,Commercial,Edmonton,2017-08-01,2251941,1212
Company 5,Group A,Commercial,Edmonton,2017-09-01,2745431,1572.5
Company 3,Group A,Commercial,Edmonton,2017-09-01,0,0
Company 4,Group A,Commercial,Edmonton,2017-09-01,194628,138.0833334
Company 5,Group A,Commercial,Edmonton,2017-10-01,2624679,1348.916667
Company 3,Group A,Commercial,Edmonton,2017-10-01,0,0
Company 6,Group A,Commercial,Edmonton,2017-10-01,0,0
Company 4,Group A,Commercial,Edmonton,2017-10-01,327870,379.5000001
Company 4,Group A,Commercial,Edmonton,2017-11-01,881596,565.3333335
Company 3,Group A,Commercial,Edmonton,2017-11-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-11-01,2261086,1339.333334
Company 6,Group A,Commercial,Edmonton,2017-11-01,0,0
Company 4,Group A,Commercial,Edmonton,2017-12-01,892575,1083.75
Company 3,Group A,Commercial,Edmonton,2017-12-01,0,0
Company 6,Group A,Commercial,Edmonton,2017-12-01,0,0
Company 5,Group A,Commercial,Edmonton,2017-12-01,1895997,990.9166671
Company 6,Group A,Commercial,North,2017-12-01,0,0
Company 4,Group A,Commercial,North,2017-12-01,554023,682.9166667
Company 5,Group A,Commercial,North,2017-12-01,2182673,1725.916667
Company 3,Group A,Commercial,North,2017-12-01,0,0
Company 3,Group A,Commercial,North,2017-11-01,0,0
Company 4,Group A,Commercial,North,2017-11-01,681475,567.5
Company 6,Group A,Commercial,North,2017-11-01,0,0
Company 5,Group A,Commercial,North,2017-11-01,2437342,1581.166667
Company 5,Group A,Commercial,North,2017-10-01,3060249,2158.833333
Company 4,Group A,Commercial,North,2017-10-01,372979,243.6666667
Company 4,Group A,Commercial,North,2017-09-01,706057,542.9166666
Company 5,Group A,Commercial,North,2017-09-01,2559336,1906.833333
Company 3,Group A,Commercial,North,2017-08-01,0,0
Company 4,Group A,Commercial,North,2017-08-01,200607,197.5833333
Company 5,Group A,Commercial,North,2017-08-01,1847988,1237.333333
Company 4,Group A,Commercial,North,2017-07-01,235485,223.0833333
Company 5,Group A,Commercial,North,2017-07-01,2099952,1533.25
Company 5,Group A,Commercial,North,2017-06-01,2195259,1485.583333
Company 3,Group A,Commercial,North,2017-06-01,0,0
Company 4,Group A,Commercial,North,2017-06-01,716922,639.25
Company 5,Group A,Commercial,North,2017-05-01,2930640,2209.75
Company 3,Group A,Commercial,North,2017-05-01,0,0
Company 4,Group A,Commercial,North,2017-05-01,590642,557.25
Company 3,Group A,Commercial,North,2017-04-01,0,0
Company 5,Group A,Commercial,North,2017-04-01,2150361,1824.333333
Company 4,Group A,Commercial,North,2017-04-01,1123032,899.0833333
Company 5,Group A,Commercial,North,2017-03-01,1710243,1236.333333
Company 3,Group A,Commercial,North,2017-03-01,0,0
Company 4,Group A,Commercial,North,2017-03-01,953897,380.5
Company 5,Group A,Commercial,North,2017-02-01,1511365,1167.333333
Company 4,Group A,Commercial,North,2017-02-01,991642,665.6666667
Company 3,Group A,Commercial,North,2017-01-01,0,0
Company 4,Group A,Commercial,North,2017-01-01,336492,178.8333334
Company 5,Group A,Commercial,North,2017-01-01,1573687,1044
Company 5,Group A,Commercial,South,2017-01-01,1343893,1299.75
Company 4,Group A,Commercial,South,2017-01-01,182842,143.0833333
Company 4,Group A,Commercial,South,2017-02-01,197205,118.5833334
Company 5,Group A,Commercial,South,2017-02-01,1329770,1199.333333
Company 4,Group A,Commercial,South,2017-03-01,165610,91.75000004
Company 5,Group A,Commercial,South,2017-03-01,1729957,1685.166666
Company 5,Group A,Commercial,South,2017-04-01,1867555,1726.5
Company 4,Group A,Commercial,South,2017-04-01,632997,539.9166667
Company 4,Group A,Commercial,South,2017-05-01,202533,138.1666667
Company 5,Group A,Commercial,South,2017-05-01,1835573,1790.666666
Company 3,Group A,Commercial,South,2017-06-01,0,0
Company 4,Group A,Commercial,South,2017-06-01,555347,581.5833333
Company 5,Group A,Commercial,South,2017-06-01,1364384,1217.916666
Company 4,Group A,Commercial,South,2017-07-01,190964,153.5833333
Company 3,Group A,Commercial,South,2017-07-01,0,0
Company 5,Group A,Commercial,South,2017-07-01,1461756,1333.833333
Company 3,Group A,Commercial,South,2017-08-01,0,0
Company 4,Group A,Commercial,South,2017-08-01,178144,128.5833334
Company 5,Group A,Commercial,South,2017-08-01,1335511,1152.5
Company 5,Group A,Commercial,South,2017-09-01,1452969,1168
Company 4,Group A,Commercial,South,2017-09-01,106333,74.50000001
Company 5,Group A,Commercial,South,2017-10-01,1414248,1202.833333
Company 4,Group A,Commercial,South,2017-10-01,136634,87.75000002
Company 3,Group A,Commercial,South,2017-10-01,0,0
Company 5,Group A,Commercial,South,2017-11-01,1492787,1368.583334
Company 6,Group A,Commercial,South,2017-11-01,0,0
Company 4,Group A,Commercial,South,2017-11-01,118004,99.50000005
Company 4,Group A,Commercial,South,2017-12-01,133649,136.1666667
Company 5,Group A,Commercial,South,2017-12-01,1670000,1466.333333
Company 6,Group A,Commercial,Calgary,2018-01-01,0,0
Company 4,Group A,Commercial,Calgary,2018-01-01,500834,339
Company 3,Group A,Commercial,Calgary,2018-01-01,0,0
Company 5,Group A,Commercial,Calgary,2018-01-01,2376649,830.9166671
Company 5,Group A,Commercial,Calgary,2018-02-01,2171133,737.0000003
Company 4,Group A,Commercial,Calgary,2018-02-01,160035,97.58333337
Company 6,Group A,Commercial,Calgary,2018-02-01,0,0
Company 3,Group A,Commercial,Calgary,2018-03-01,0,0
Company 4,Group A,Commercial,Calgary,2018-03-01,692313,509.5833334
Company 5,Group A,Commercial,Calgary,2018-03-01,3084091,1268.666667
Company 4,Group A,Commercial,Calgary,2018-04-01,523890,284.9166665
Company 3,Group A,Commercial,Calgary,2018-04-01,0,0
Company 5,Group A,Commercial,Calgary,2018-04-01,3427184,1326.333333
Company 4,Group A,Commercial,Calgary,2018-05-01,1210247,775.6666666
Company 5,Group A,Commercial,Calgary,2018-05-01,3524532,1233.083333
Company 5,Group A,Commercial,Calgary,2018-06-01,3417363,1443.5
Company 4,Group A,Commercial,Calgary,2018-06-01,659413,396.4166667
Company 3,Group A,Commercial,Calgary,2018-06-01,0,0
Company 5,Group A,Commercial,Calgary,2018-07-01,2666457,817.8333336
Company 3,Group A,Commercial,Calgary,2018-07-01,0,0
Company 4,Group A,Commercial,Calgary,2020-10-01,129316,71.83333334
Company 5,Group A,Commercial,Calgary,2020-10-01,2349578,1014.75
Company 3,Group A,Commercial,Calgary,2020-10-01,0,0
Company 4,Group A,Commercial,Calgary,2020-12-01,102949,44.00000003
Company 5,Group A,Commercial,Calgary,2020-12-01,1785229,768.5000003
Company 3,Group A,Commercial,Calgary,2020-11-01,0,0
Company 5,Group A,Commercial,Calgary,2020-11-01,2163900,984.3333337
Company 4,Group A,Commercial,Calgary,2020-11-01,108846,52.50000006
Company 4,Group A,Commercial,Central,2020-11-01,55523,39.75000003
Company 5,Group A,Commercial,Central,2020-11-01,2840476,2085.500001
Company 4,Group A,Commercial,Central,2020-12-01,36357,28.91666668
Company 5,Group A,Commercial,Central,2020-12-01,2097943,1328.25
Company 3,Group A,Commercial,Central,2020-12-01,0,0
Company 3,Group A,Commercial,Central,2020-10-01,0,0
Company 5,Group A,Commercial,Central,2020-10-01,2704906,1814.666667
Company 4,Group A,Commercial,Central,2020-10-01,56103,55.25000004
Company 4,Group A,Commercial,Central,2020-09-01,105288,55.08333335
Company 5,Group A,Commercial,Central,2020-09-01,2560001,1721.166667
Company 5,Group A,Commercial,Central,2020-08-01,2261622,1567.25
Company 4,Group A,Commercial,Central,2020-08-01,52709,33.00000002
Company 4,Group A,Commercial,Central,2020-07-01,73164,45.58333332
Company 5,Group A,Commercial,Central,2020-07-01,2707798,1702.916666
Company 5,Group A,Commercial,Central,2020-06-01,3384317,2454
Company 4,Group A,Commercial,Central,2020-06-01,70026,40.91666669
Company 4,Group A,Commercial,Central,2020-05-01,79788,58.08333331
Company 5,Group A,Commercial,Central,2020-05-01,3535719,2450.166666
Company 3,Group A,Commercial,Central,2020-05-01,0,0
Company 4,Group A,Commercial,Central,2020-01-01,41460,28.41666665
Company 3,Group A,Commercial,Central,2020-01-01,0,0
Company 5,Group A,Commercial,Central,2020-01-01,2315529,1592.583334
Company 5,Group A,Commercial,Central,2020-04-01,2670519,1983.25
Company 4,Group A,Commercial,Central,2020-04-01,50589,39.91666666
Company 3,Group A,Commercial,Central,2020-03-01,0,0
Company 4,Group A,Commercial,Central,2020-03-01,82488,68.83333337
Company 5,Group A,Commercial,Central,2020-03-01,2829711,1953.833334
Company 5,Group A,Commercial,Central,2020-02-01,2758303,1777.916667
Company 4,Group A,Commercial,Central,2020-02-01,62654,47.08333334
Company 5,Group A,Commercial,Edmonton,2020-02-01,2234771,1048.083333
Company 4,Group A,Commercial,Edmonton,2020-02-01,167146,79.74999999
Company 4,Group A,Commercial,Edmonton,2020-03-01,196333,82.08333337
Company 5,Group A,Commercial,Edmonton,2020-03-01,1702874,918.0833339
Company 3,Group A,Commercial,Edmonton,2020-03-01,0,0.00000001
Company 5,Group A,Commercial,Edmonton,2020-04-01,3090852,1447.916667
Company 4,Group A,Commercial,Edmonton,2020-04-01,143088,70.91666665
Company 3,Group A,Commercial,Edmonton,2020-04-01,0,0
Company 4,Group A,Commercial,Edmonton,2020-01-01,118699,62.83333337
Company 5,Group A,Commercial,Edmonton,2020-01-01,2042060,943.8333336
Company 3,Group A,Commercial,Edmonton,2020-05-01,0,0.00000002
Company 5,Group A,Commercial,Edmonton,2020-05-01,3456121,1721.249999
Company 4,Group A,Commercial,Edmonton,2020-05-01,229280,115.0833333
Company 5,Group A,Commercial,Edmonton,2020-06-01,3340071,1413.749999
Company 4,Group A,Commercial,Edmonton,2020-06-01,231098,101
Company 3,Group A,Commercial,Edmonton,2020-06-01,0,0
Company 4,Group A,Commercial,Edmonton,2020-07-01,207062,95.16666663
Company 5,Group A,Commercial,Edmonton,2020-07-01,2485797,1061.666666
Company 3,Group A,Commercial,Edmonton,2020-07-01,0,0
Company 4,Group A,Commercial,Edmonton,2020-08-01,117163,62.66666669
Company 5,Group A,Commercial,Edmonton,2020-08-01,1838498,815.9166667
Company 3,Group A,Commercial,Edmonton,2020-08-01,0,0
Company 5,Group A,Commercial,Edmonton,2020-09-01,2472961,1268.25
Company 4,Group A,Commercial,Edmonton,2020-09-01,93905,57.25
Company 3,Group A,Commercial,Edmonton,2020-09-01,0,0
Company 3,Group A,Commercial,Edmonton,2020-10-01,0,0
Company 4,Group A,Commercial,Edmonton,2020-10-01,104775,58.66666669
Company 5,Group A,Commercial,Edmonton,2020-10-01,2374855,1100.916667
Company 3,Group A,Commercial,Edmonton,2020-12-01,0,0
Company 4,Group A,Commercial,Edmonton,2020-12-01,68724,39.1666667
Company 5,Group A,Commercial,Edmonton,2020-12-01,2023325,904.3333338
Company 3,Group A,Commercial,Edmonton,2020-11-01,0,0
Company 5,Group A,Commercial,Edmonton,2020-11-01,2245935,1104.083334
Company 4,Group A,Commercial,Edmonton,2020-11-01,94716,55.5000001
Company 4,Group A,Commercial,North,2020-11-01,79932,42.6666667
Company 5,Group A,Commercial,North,2020-11-01,2289049,1401.416667
Company 3,Group A,Commercial,North,2020-11-01,0,0
Company 4,Group A,Commercial,North,2020-12-01,41474,39.41666669
Company 3,Group A,Commercial,North,2020-12-01,0,0
Company 5,Group A,Commercial,North,2020-12-01,1654810,989.4166669
Company 5,Group A,Commercial,North,2020-10-01,2323956,1390.083333
Company 3,Group A,Commercial,North,2020-10-01,0,0
Company 4,Group A,Commercial,North,2020-10-01,66374,48.33333334
Company 4,Group A,Commercial,North,2020-09-01,64922,73.08333332
Company 5,Group A,Commercial,North,2020-09-01,2585300,1463.5
Company 5,Group A,Commercial,North,2020-08-01,2106296,1114.75
